"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.05)"
NM_005559	29734	187122978	-12.619585550063	-12.6196772656449	-9556.08876884587	0	0	0	TRUE
NM_001197218	25610852	497142	5.68695344636129	5.68686173077938	5312.73958866917	0	0	0	TRUE
NM_020779	18806730	1209464	3.95880929072518	3.95871757514326	4288.7690975848	0	0	0	TRUE
NM_001242922_1	16655502	412530	5.33535598872644	5.33526427314452	4261.71705937639	0	0	0	TRUE
NM_020944	12171236	500440	4.6041347640099	4.60404304842798	3567.12125338985	0	0	0	TRUE
NM_001172415	11374420	324390	5.1319198254677	5.13182810988578	3502.89777386228	0	0	0	TRUE
NM_001143824	10086040	476812	4.40279549696376	4.40270378138184	3213.22494694129	0	0	0	TRUE
NM_153282	5416534	604892	3.16262049138299	3.16252877580107	2094.92788614478	0	0	0	TRUE
NM_144629	4041002	104966	5.26671906659158	5.26662735100966	2086.58356564838	0	0	0	TRUE
NM_001258294	4712008	612790	2.94287732905388	2.94278561347196	1888.21483770468	0	0	0	TRUE
NM_173214	3253880	126828	4.68121585515727	4.68112413957536	1841.88886012709	0	0	0	TRUE
NM_017798	3125120	61274	5.6724927436701	5.67240102808818	1841.14830841219	0	0	0	TRUE
NM_152614	3008788	200010	3.91103841951596	3.91094670393404	1691.59781194135	0	0	0	TRUE
NM_182749	2564678	58704	5.44917508428443	5.44908336870251	1665.25505150492	0	0	0	TRUE
NM_001220767	2560976	138640	4.20727826816391	4.20718655258199	1594.12983024869	0	0	0	TRUE
NM_005895	5470656	1476360	1.88966928521738	1.88957756963546	1572.50111491709	0	0	0	TRUE
NM_198681	2217050	64730	5.09806299284012	5.0979712772582	1539.35870746533	0	0	0	TRUE
NR_038287	2857326	334058	3.09649513267471	3.09640341709279	1503.75406208325	0	0	0	TRUE
NM_005555	2748270	302098	3.18543520866784	3.18534349308593	1493.68886837793	0	0	0	TRUE
NR_046424	2459828	250696	3.2945465582449	3.29445484266298	1433.71021365279	0	0	0	TRUE
NM_001164507	1593264	145852	3.4494082632732	3.44931654769128	1175.21571050063	0	0	0	TRUE
NM_001276293	3617446	1180988	1.61497717524973	1.61488545966782	1143.85234127732	0	0	0	TRUE
NM_001127665	1112256	20170	5.78513398689264	5.78504227131072	1097.75987633562	0	0	0	TRUE
NM_006077	1110542	25692	5.43380094395328	5.43370922837137	1095.02381362599	0	0	0	TRUE
NR_034054	1088786	21980	5.6303852248723	5.63029350929038	1085.80562055976	0	0	0	TRUE
NM_172352	1053636	27446	5.2626368293326	5.26254511375068	1064.1024145097	0	0	0	TRUE
NM_015040	1076200	53366	4.33388152219624	4.33378980661432	1040.46644866406	0	0	0	TRUE
NM_023924	864210	36746	4.55572280634237	4.55563109076045	942.996163602373	0	0	0	TRUE
NM_001135993	1033480	114824	3.17001434554346	3.16992262996155	912.677126970714	0	0	0	TRUE
NM_015477	774430	40968	4.24056547174684	4.24047375616492	877.556446796174	0	0	0	TRUE
NR_026914	689424	26608	4.69545954335096	4.69536782776904	847.231021039868	0	0	0	TRUE
NM_001004308	667324	17970	5.2147250766855	5.21463336110358	846.007825696989	0	0	0	TRUE
NM_001145434	653716	20398	5.00216439854699	5.00207268296507	833.355014984816	0	0	0	TRUE
NM_004586	756332	61952	3.60979689702212	3.60970518144021	823.5866644123	0	0	0	TRUE
NM_001252619	830278	94520	3.13490293705847	3.13481122147656	813.791311360631	0	0	0	TRUE
NM_207318	798176	82548	3.27340173315799	3.27331001757607	813.350599540941	0	0	0	TRUE
NR_024322	605050	19220	4.97637412723141	4.9762824116495	801.159089813574	0	0	0	TRUE
NM_007294	557726	14392	5.2762175311062	5.27612581552428	774.209357330494	0	0	0	TRUE
NM_020645	572382	26608	4.4270463247322	4.42695460915028	762.472384781807	0	0	0	TRUE
NM_001004450	532852	21074	4.66019879973348	4.66010708415157	743.720653758758	0	0	0	TRUE
NM_002611	689966	81138	3.08807562423681	3.08798390865489	736.640415662788	0	0	0	TRUE
NM_001173524	658070	69962	3.23359761678453	3.23350590120262	734.515217272934	0	0	0	TRUE
NM_005206	585680	44242	3.72662411914141	3.72653240355949	733.10131842562	0	0	0	TRUE
NM_001040142	486896	10868	5.48545527268824	5.48536355710632	725.256010533439	0	0	0	TRUE
NM_001788	703310	101900	2.78700667888022	2.7869149632983	707.221231505338	0	0	0	TRUE
NR_038444	563020	51902	3.43932413385386	3.43923241827194	697.243789442188	0	0	0	TRUE
NM_182683	540814	48874	3.46799340983772	3.4679016942558	685.622860136259	0	0	0	TRUE
NR_045671	438456	24702	4.14973231278663	4.14964059720472	656.294112114134	0	0	0	TRUE
NM_001023563	399178	11510	5.11607247265975	5.11598075707783	652.940271864237	0	0	0	TRUE
NM_012453	427980	22542	4.24685595246901	4.24676423688709	652.498124764299	0	0	0	TRUE
NM_024616	389484	12258	4.98976854858445	4.98967683300254	642.961883597748	0	0	0	TRUE
NM_006139	362986	12708	4.83610500574029	4.83601329015838	617.822151394381	0	0	0	TRUE
NM_001001928	351542	11372	4.95013915437268	4.95004743879077	610.157570154727	0	0	0	TRUE
NM_018530	329606	7170	5.52262557578208	5.52253386020016	596.870626428407	0	0	0	TRUE
NM_001198774	371124	24010	3.9501939921696	3.95010227658769	594.975553514449	0	0	0	TRUE
NM_006914	327670	9988	5.03590396072871	5.03581224514679	590.43340511173	0	0	0	TRUE
NM_001195798	605846	125628	2.26979307333438	2.26970135775246	584.710788797123	0	0	0	TRUE
NM_001253793	425798	50550	3.0743861761358	3.07429446055389	577.359709723179	0	0	0	TRUE
NM_003410	322546	15878	4.3444038190961	4.34431210351419	569.712911906742	0	0	0	TRUE
NM_001142634	324192	19150	4.08143219302895	4.08134047744703	561.618785235745	0	0	0	TRUE
NM_001114600	279242	4324	6.01300561625354	6.01291390067162	549.414082458045	0	0	0	TRUE
NR_046349	279956	6810	5.36140149167218	5.36130977609026	549.146223991993	0	0	0	TRUE
NM_001261824	274326	4914	5.80284969612539	5.80275798054347	545.01734064246	0	0	0	TRUE
NM_024012	310348	20024	3.95408474742452	3.9539930318426	544.229300904838	0	0	0	TRUE
NM_001276318	322502	26024	3.63139347484982	3.6313017592679	538.826457350312	0	0	0	TRUE
NM_005044	279416	11186	4.64264849458567	4.64255677900375	538.096192905869	0	0	0	TRUE
NM_006636	257368	9862	4.70580862331776	4.70571690773584	517.750891235469	0	0	0	TRUE
NM_004096	231932	7580	4.9353602258571	4.93526851027518	495.363780838645	0	0	0	TRUE
NR_047610	304940	34526	3.14277029993778	3.14267858435586	493.528267719284	0	0	0	TRUE
NM_001079518	209460	4618	5.50326277938716	5.50317106380524	475.714079004696	0	0	0	TRUE
NM_174917	245910	18392	3.74098012744916	3.74088841186724	475.564618986846	0	0	0	TRUE
NM_001113546	216772	8694	4.64001451288957	4.63992279730765	473.886202317784	0	0	0	TRUE
NM_206966	208896	2256	6.5328739895727	6.53278227399079	471.790861543047	0	0	0	TRUE
NM_152716	212714	11308	4.23349929555016	4.23340757996824	459.567462520291	0	0	0	TRUE
NM_020857	208024	10744	4.27514686858515	4.27505515300323	455.641615619938	0	0	0	TRUE
NR_073049	186652	3946	5.56381620109853	5.56372448551662	449.265407549768	0	0	0	TRUE
NM_002044	184318	5852	4.97712338786319	4.97703167228127	442.114284556462	0	0	0	TRUE
NM_002941	178416	3596	5.63270816806847	5.63261645248655	439.401481665431	0	0	0	TRUE
NM_003449	171660	3020	5.82886154371926	5.82876982813734	431.103059559598	0	0	0	TRUE
NM_001251963	165156	3774	5.45159114949648	5.45149943391456	422.209116706799	0	0	0	TRUE
NM_022481	185478	12542	3.88640874559194	3.88631703001003	418.375133582058	0	0	0	TRUE
NM_018933	171880	7980	4.42886912555159	4.42877740996967	417.774175983127	0	0	0	TRUE
NM_001131034	203298	19138	3.40908404711627	3.40899233153436	417.36078282102	0	0	0	TRUE
NM_031942	169718	11684	3.86053341436446	3.86044169878254	399.324246250041	0	0	0	TRUE
